NAME,COUNTY,GNIS_MATCH,GNIS_COUNT,GNIS_LAT,GNIS_LON,GNIS_SIMIL,INCORP_YR,YR_1850,YR_1860,YR_1870,YR_1880,YR_1890,YR_1900,YR_1910,YR_1920,YR_1930,YR_1940,YR_1950,YR_1960,YR_1970,YR_1980,YR_1990,YR_2000
Colfax,Placer,Colfax,Placer,39.10072980000,-120.95327590000,1.00000000000,1910,0,0,0,591,670,0,621,573,912,794,820,915,798,981,1,1
College Town,Colusa,College City,Colusa,39.00573030000,-122.00941290000,0.67142857143,0,0,0,0,237,387,0,0,0,0,0,0,0,0,0,0,0
Collegeville,San Joaquin,Collegeville,San Joaquin,37.90492520000,-121.14744200000,1.00000000000,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colma,San Mateo,Colma,San Mateo,37.67687790000,-122.45969500000,1.00000000000,1924,0,0,0,188,0,0,0,0,369,354,297,500,537,395,1,1
Coloma,El Dorado,Coloma,El Dorado,38.79990140000,-120.89021600000,1.00000000000,0,588,888,0,231,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,San Diego,Coronado,San Diego,32.68588540000,-117.18308910000,0.92857142857,0,0,310,229,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,Tuolumne,Columbia,Tuolumne,38.03631190000,-120.40130610000,1.00000000000,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,Tulare,Columbine Lake,Tulare,36.46180790000,-118.55096690000,0.89292976854,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0
Columbia Flat,El Dorado,Coloma,El Dorado,38.79990140000,-120.89021600000,0.89577049081,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
Colusa,Colusa,Colusa,Colusa,39.22711160000,-122.04136280000,1.00000000000,0,0,348,0,2,1,1,2,2,2,2,3,4,4,4,5,5
Comanche,Calaveras,Camanche Creek,Calaveras,38.21908460000,-120.96521830000,0.95256833334,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0
Compton,Los Angeles,Compton,Los Angeles,33.89584920000,-118.22007120000,1.00000000000,1888,0,0,160,0,636,0,922,1,13,16,48,72,79,81,90,93
Concord,Contra Costa,Concord,Contra Costa,37.97797770000,-122.03107330000,1.00000000000,1905,0,0,0,399,373,0,703,912,1,1,7,36,85,104,111,122
Condemned Bar,Sutter,Condemned Bar,Nevada,39.32933630000,-121.19440170000,0.77838827839,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copperopolis,Calaveras,Copperopolis,Calaveras,37.98103580000,-120.64187160000,1.00000000000,0,0,0,0,148,232,0,0,0,0,0,0,0,0,0,0,2
Cosumnes,Sacramento,Cosumnes,Sacramento,38.41129980000,-121.20661380000,1.00000000000,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
